nom,categorie,prix_eur,volume_L,degre_pct,ratio,image,url
"Mouton Cadet BIO, 2023 - Bordeaux AOP - Rouge - 75 cl",vins-rouges,12.15,0.75,12.5,129.6,https://media.e.leclerc/3262156083758_1,https://www.e.leclerc/pro/mouton-cadet-bio-2023-bordeaux-aop-rouge-75-cl
"Château Cantelaudette Grand Vin, 2020 - Graves de vayres AOP - Rouge - 75 cl",vins-rouges,12.4,0.75,14.5,114.02,https://media.e.leclerc/3397254880012_1,https://www.e.leclerc/pro/chateau-cantelaudette-grand-vin-2020-graves-de-vayres-aop-rouge-75-cl
"Bergerie de l'Hortus, 2023 - Pic-Saint-Loup AOP - Rouge - 75 cl",vins-rouges,17.5,0.75,,,https://fgellaobb.filerobot.com/3760016293014_1,https://www.e.leclerc/pro/bergerie-de-l-hortus-2023-pic-saint-loup-aop-rouge-75-cl
"La Petite Perdrane, 2023 - Saint-Guilhem le Désert IGP - Rouge - 75 cl",vins-rouges,5.2,0.75,,,https://media.e.leclerc/3379810115813_1,https://www.e.leclerc/pro/la-petite-perdrane-2023-saint-guilhem-le-desert-igp-rouge-75-cl
"M. Chapoutier Les Pentues BIO, 2020 - Côtes du Rhône AOP - Rouge - 75 cl",vins-rouges,8.9,0.75,,,https://fgellaobb.filerobot.com/3391180006096_1,https://www.e.leclerc/pro/m-chapoutier-les-pentues-bio-2020-cotes-du-rhone-aop-rouge-75-cl
"Château Larmande, 2023 - Saint-Emilion AOP - Rouge - 75 cl",vins-rouges,27.95,0.75,,,https://media.e.leclerc/3760147651684_1,https://www.e.leclerc/pro/chateau-larmande-2023-saint-emilion-aop-rouge-75-cl
"Jean Philippe Marchand Maranges ""Sous Loyères"", 2023 - Maranges AOP - Rouge - 75 cl",vins-rouges,19.5,0.75,,,https://media.e.leclerc/3468882102347_1,https://www.e.leclerc/pro/jean-philippe-marchand-maranges-sous-loyeres-2023-maranges-aop-rouge-75-cl
"Château Lestage, 2022 - Listrac-Médoc AOP - Rouge - 75 cl",vins-rouges,13.99,0.75,14.5,128.64,https://media.e.leclerc/3278112201029_1,https://www.e.leclerc/pro/chateau-lestage-2022-listrac-medoc-aop-rouge-75-cl
"Château Cantelaudette, 2024 - Bordeaux Clairet AOP - Rouge - 75 cl",vins-rouges,6.5,0.75,12.5,69.33,https://media.e.leclerc/3397259010001_1,https://www.e.leclerc/pro/chateau-cantelaudette-2024-bordeaux-clairet-aop-rouge-75-cl
"Château Corbin, 2023 - Saint-Emilion Grand Cru AOP - Rouge - 75 cl",vins-rouges,29.7,0.75,13.5,293.33,https://media.e.leclerc/3760332020349_1,https://www.e.leclerc/pro/chateau-corbin-2023-saint-emilion-grand-cru-aop-rouge-75-cl
"SANGOUARD-CHÉNÉ, 2024 - Mâcon-Igé AOP - Rouge - 75 cl",vins-rouges,6.7,0.75,12.5,71.47,https://media.e.leclerc/3770016350266_1,https://www.e.leclerc/pro/sangouard-chene-2024-macon-ige-aop-rouge-75-cl
"Romain Duvernay BIO, 2022 - Côtes du Rhône Villages Visan AOP - Rouge - 75 cl",vins-rouges,7.21,0.75,14.5,66.3,https://media.e.leclerc/3760256771525_1,https://www.e.leclerc/pro/romain-duvernay-bio-2022-cotes-du-rhone-villages-visan-aop-rouge-75-cl
"Bergerie de Taillade Les Fines Pierres, 2023 - Pic-Saint-Loup AOP - Rouge - 75 cl",vins-rouges,9.68,0.75,,,https://media.e.leclerc/3760115334526_1,https://www.e.leclerc/pro/bergerie-de-taillade-les-fines-pierres-2023-pic-saint-loup-aop-rouge-75-cl
"Domaine du Vieux Collège BIO, 2023 - Marsannay AOP - Rouge - 75 cl",vins-rouges,21.15,0.75,13.5,208.89,https://fgellaobb.filerobot.com/3463640074416_1,https://www.e.leclerc/pro/domaine-du-vieux-college-bio-2023-marsannay-aop-rouge-75-cl
"Minervois Château Remaury , 2023 - Minervois AOP - Rouge - 75 cl",vins-rouges,5.06,0.75,14.5,46.53,https://media.e.leclerc/3514124232225_1,https://www.e.leclerc/pro/minervois-chateau-remaury-2023-minervois-aop-rouge-75-cl
"L'Âme de Pape Clément, 2022 - Graves AOP - Rouge - 75 cl",vins-rouges,14.2,0.75,,,https://media.e.leclerc/3760020787349_1,https://www.e.leclerc/pro/l-ame-de-pape-clement-2022-graves-aop-rouge-75-cl
"Jean Claude Mas, Mas Des Mas, 2024 - Terrasses du Larzac AOP - Rouge - 75 cl",vins-rouges,8.94,0.75,,,https://media.e.leclerc/3760040427249_1,https://www.e.leclerc/pro/jean-claude-mas-mas-des-mas-2024-terrasses-du-larzac-aop-rouge-75-cl
"Gérard Bertrand Réserve, 2024 - Pic-Saint-Loup AOP - Rouge - 75 cl",vins-rouges,9.3,0.75,,,https://media.e.leclerc/3514123137675_1,https://www.e.leclerc/pro/gerard-bertrand-reserve-2024-pic-saint-loup-aop-rouge-75-cl
"Connétable Talbot, 2023 - Saint-Julien AOP - Rouge - 75 cl",vins-rouges,24.25,0.75,13.5,239.51,https://media.e.leclerc/3661419223205_1,https://www.e.leclerc/pro/connetable-talbot-2023-saint-julien-aop-rouge-75-cl
"Château Bertin Cuvée Prestige, 2023 - Saint-Georges-Saint-Emilion AOP - Rouge - 75 cl",vins-rouges,8.99,0.75,14.5,82.67,https://media.e.leclerc/3339002300694_1,https://www.e.leclerc/pro/chateau-bertin-cuvee-prestige-2023-saint-georges-saint-emilion-aop-rouge-75-cl
"Domaine Richaud, 2022 - Cairanne AOP - Rouge - 75 cl",vins-rouges,28.45,0.75,13.5,280.99,https://media.e.leclerc/3701439606500_1,https://www.e.leclerc/pro/domaine-richaud-2022-cairanne-aop-rouge-75-cl
"chateau de couches, 2024 - Bourgogne Hautes-Côtes de Beaune AOP - Rouge - 75 cl",vins-rouges,11.36,0.75,,,https://media.e.leclerc/3760297710033_1,https://www.e.leclerc/pro/chateau-de-couches-2024-bourgogne-hautes-cotes-de-beaune-aop-rouge-75-cl
"Haut-Bergey BIO, 2023 - Pessac-Léognan AOP - Rouge - 75 cl",vins-rouges,21.75,0.75,12.5,232.0,https://media.e.leclerc/3760410560040_1,https://www.e.leclerc/pro/haut-bergey-bio-2023-pessac-leognan-aop-rouge-75-cl
